x,y,z
0.2810548390,0.5684666357,0.6904282135
0.2798954166,0.5634629164,0.6896398957
0.2787167657,0.5583507822,0.6888013578
0.2775195676,0.5531387410,0.6879121027
0.2763058074,0.5478389343,0.6869732877
0.2750785822,0.5424667245,0.6859875974
0.2738418698,0.5370401472,0.6849590557
0.2726002686,0.5315792501,0.6838927841
-0.0846425790,-0.9447336390,1.7363956137
-0.0841897838,-0.9418787722,1.7352896141
-0.0837059198,-0.9390108414,1.7342417633
-0.0831785621,-0.9361198710,1.7332919834
-0.0826222652,-0.9332046592,1.7324384107
-0.0820620851,-0.9302680945,1.7316598866
-0.0815227872,-0.9273138216,1.7309323102
-0.0810240140,-0.9243451460,1.7302353920
-0.0805789909,-0.9213647824,1.7295550403
-0.0801954718,-0.9183747896,1.7288839026
-0.0798778596,-0.9153765691,1.7282207764
-0.0796294491,-0.9123708259,1.7275692399
-0.0794540156,-0.9093571448,1.7269358693
-0.0793564429,-0.9063325164,1.7263283417
-0.0793424978,-0.9032880069,1.7257535658
-0.0794180624,-0.9002031168,1.7252158729
-0.0795881376,-0.8970384215,1.7247153234
-0.0798558229,-0.8937285957,1.7242463345
-0.0802213795,-0.8901791587,1.7237970120
-0.0806814460,-0.8862703217,1.7233496136
-0.0812284971,-0.8818697148,1.7228823967
-0.0818506669,-0.8768528924,1.7223727140
-0.0825320552,-0.8711275019,1.7218007855
-0.0832535690,-0.8646551607,1.7211532797
-0.0839942438,-0.8574652393,1.7204258150
-0.0847328720,-0.8496568413,1.7196237780
-0.0854496852,-0.8413884646,1.7187613092
-0.0861278188,-0.8328579544,1.7178587884
0.1701094787,1.2746322310,0.9625274112
0.1716692259,1.2725582937,0.9611538579
0.1731800768,1.2704610057,0.9597624048
0.1746414878,1.2683424717,0.9583517200
0.1760527275,1.2662064252,0.9569179845
0.1774135379,1.2640580379,0.9554557818
0.1787251299,1.2619030602,0.9539600696
0.1799912063,1.2597469058,0.9524280920
0.1812184696,1.2575938228,0.9508607061
0.1824162137,1.2554461413,0.9492629599
0.1835950735,1.2533037417,0.9476438681
0.1847654318,1.2511639699,0.9460154552
0.1859360676,1.2490220924,0.9443913138
0.1871134022,1.2468721487,0.9427850475
0.1883013949,1.2447078842,0.9412089451
0.1895019279,1.2425234108,0.9396730839
0.1907154724,1.2403132896,0.9381848585
0.1919418848,1.2380718169,0.9367487723
0.1931812679,1.2357914012,0.9353662615
0.1944348782,1.2334601010,0.9340353682
0.1957060275,1.2310586873,0.9327502179
0.1970008463,1.2285579513,0.9315004394
0.1983286778,1.2259172751,0.9302708224
0.1997018495,1.2230855046,0.9290415708
0.2011346414,1.2200048081,0.9277894261
0.2026414578,1.2166174775,0.9264897271
0.2042344487,1.2128747420,0.9251191872
0.2059210290,1.2087459224,0.9236589227
0.2077018377,1.2042259350,0.9220971314
0.2095696182,1.1993393973,0.9204308592
0.2115093028,1.1941403210,0.9186664885
0.2134993143,1.1887073746,0.9168188678
0.2155138329,1.1831356541,0.9149092955
0.0803237884,0.0330562987,2.5099983199
0.0811186676,0.0315972491,2.5077359249
0.0818859756,0.0301943970,2.5052157458
0.0826186565,0.0288539709,2.5025748634
0.0833106981,0.0275865731,2.4998613759
0.0839633783,0.0264025487,2.4970932214
0.0845821304,0.0253093330,2.4942789521
0.0851707404,0.0243109247,2.4914240385
0.0857287355,0.0234084063,2.4885326368
0.0862523466,0.0226007226,2.4856082785
0.0867369028,0.0218853836,2.4826542958
0.0871788778,0.0212590038,2.4796740535
0.0875769640,0.0207176719,2.4766709900
0.0879322932,0.0202571749,2.4736485201
0.0882481264,0.0198731091,2.4706098332
0.0885292547,0.0195608973,2.4675575436
0.0887812263,0.0193157005,2.4644930376
0.0890094493,0.0191321862,2.4614152782
0.0892182095,0.0190041219,2.4583188370
0.0894096731,0.0189238071,2.4551910988
0.0895829823,0.0188814493,2.4520089557
0.0897335862,0.0188646776,2.4487357742
0.0898529594,0.0188584436,2.4453198033
0.0899288350,0.0188455319,2.4416952471
0.0899460041,0.0188077845,2.4377868166
0.0898876244,0.0187279549,2.4335177388
0.0897368607,0.0185919091,2.4288201823
0.0894785914,0.0183907525,2.4236462028
0.0891008878,0.0181224340,2.4179769415
0.0885960226,0.0177924762,2.4118280663
0.0879608718,0.0174136722,2.4052502500
0.0871967137,0.0170048192,2.3983245855
0.0863085507,0.0165887521,2.3911538962
-0.0294679452,0.1027279880,1.2009211754
